,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Fold
2023,35.88,35.88,0.0,5.0,48.0,Yes,No,Flat
2024,14.95,14.95,0.0,4.75,291.0,No,No,Flat
2025,6.5,6.5,0.0,4.9535,780.0,No,No,Flat
2026,3.85,3.85,0.0,5.0,269.0,Yes,No,Flat
2027,4.3,8.6,50.0,4.8759,5790.0,No,No,Flat
2028,5.59,7.46,25.0,,,No,No,Flat
2029,50.0,50.0,0.0,4.9487,200.0,No,No,Flat
2030,7.19,11.99,40.0,4.9643,5147.0,No,No,Flat
2031,8.78,8.78,0.0,4.8585,1259.0,No,No,Flat
2032,5.0,5.0,0.0,4.8872,10195.0,Yes,No,Flat
2033,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
2034,7.1,7.1,0.0,4.9008,4825.0,No,No,Flat
2035,4.31,4.31,0.0,4.8272,377.0,No,No,Flat
2036,2.87,2.87,0.0,4.8839999999999995,1406.0,Yes,Yes,Flat
2037,7.5,7.5,0.0,4.8462,385.0,No,No,Flat
2038,5.59,7.46,25.0,,,No,No,Flat
2039,7.1,7.1,0.0,4.9008,4825.0,No,No,Flat
2040,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
2041,18.0,18.0,0.0,4.9082,3601.0,No,No,Flat
2042,10.8,10.8,0.0,4.9558,2764.0,Yes,No,Flat
2043,16.0,16.0,0.0,5.0,735.0,Yes,No,Flat
2044,5.55,5.55,0.0,4.8939,457.0,No,No,Flat
2045,10.0,10.0,0.0,5.0,4057.0,Yes,No,Flat
2046,47.47,67.82,30.0,4.9717,2089.0,No,No,Flat
2047,8.99,8.99,0.0,4.985,1887.0,No,No,Flat
2048,20.72,20.72,0.0,4.9643,108.0,Yes,No,Flat
2049,4.3,8.6,50.0,4.8759,5790.0,No,No,Flat
2050,4.95,4.95,0.0,4.7667,1767.0,Yes,No,Flat
2051,4.3,8.6,50.0,4.8759,5790.0,No,No,Flat
2052,10.2,12.0,15.0,4.9553,6694.0,Yes,No,Flat
2053,9.99,9.99,0.0,4.985,1887.0,No,No,Flat
2054,5.0,10.0,50.0,4.7692,216.0,No,No,Flat
2055,10.8,10.8,0.0,4.9558,2764.0,Yes,No,Flat
2056,6.99,9.99,30.0,4.9219,1342.0,No,No,Flat
2057,9.0,9.0,0.0,4.9725,3348.0,No,No,Flat
2058,7.18,7.18,0.0,5.0,2224.0,No,No,Flat
2059,17.55,17.55,0.0,5.0,831.0,Yes,No,Flat
2060,14.95,14.95,0.0,5.0,727.0,Yes,No,Flat
2061,50.0,50.0,0.0,4.9609,1620.0,No,No,Flat
2062,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
2063,3.75,3.75,0.0,4.7321,295.0,Yes,No,Flat
2064,100.0,100.0,0.0,,,Yes,No,Flat
2065,22.97,22.97,0.0,5.0,3.0,No,No,Flat
2066,30.0,30.0,0.0,4.9876,2048.0,Yes,No,Flat
2067,4.0,4.0,0.0,4.9659,1293.0,Yes,No,Flat
2068,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
2069,11.99,11.99,0.0,4.9588,7518.0,No,No,Flat
2070,12.0,12.0,0.0,5.0,411.0,Yes,No,Flat
2071,8.99,8.99,0.0,5.0,6.0,Yes,No,Flat
2072,8.99,8.99,0.0,5.0,6.0,Yes,No,Flat
2073,0.2,0.2,0.0,4.9647,855.0,No,No,Flat
2074,7.22,8.5,15.0,4.9727,2955.0,No,No,Flat
2075,19.5,19.5,0.0,5.0,439.0,Yes,No,Flat
2076,6.5,6.5,0.0,5.0,120.0,No,No,Flat
2077,5.58,9.3,40.0,4.925,6575.0,No,No,Flat
2078,3.0,3.0,0.0,5.0,948.0,No,No,Flat
2079,3.85,3.85,0.0,5.0,269.0,Yes,No,Flat
2080,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Flat
2081,100.0,100.0,0.0,5.0,269.0,Yes,No,Flat
2082,3.11,3.11,0.0,4.8571,14.0,Yes,No,Flat
2083,7.16,7.16,0.0,4.7647,35.0,No,No,Flat
2084,100.0,100.0,0.0,5.0,637.0,Yes,No,Flat
2085,8.08,10.78,25.0,,,No,No,Flat
2086,21.96,25.84,15.0,4.9583,403.0,Yes,No,Flat
2087,15.5,15.5,0.0,4.8638,3310.0,Yes,No,Flat
2088,14.99,14.99,0.0,5.0,241.0,No,No,Flat
2089,12.5,12.5,0.0,4.92,4428.0,Yes,No,Flat
2090,25.32,25.32,0.0,4.9396,372.0,Yes,No,Flat
2091,10.99,10.99,0.0,4.9871,535.0,Yes,No,Flat
2092,25.0,25.0,0.0,4.9082,3601.0,No,No,Flat
2093,8.99,8.99,0.0,5.0,6.0,Yes,No,Flat
2094,8.99,8.99,0.0,5.0,6.0,Yes,No,Flat
2095,7.22,8.5,15.0,4.9727,2955.0,No,No,Flat
2096,4.0,4.0,0.0,4.9659,1293.0,Yes,No,Flat
2097,9.99,9.99,0.0,4.985,1887.0,No,No,Flat
2098,7.99,9.99,20.0,4.9574,227.0,No,No,Flat
2099,14.0,14.0,0.0,5.0,1599.0,Yes,No,Flat
2100,9.99,9.99,0.0,4.985,1887.0,No,No,Flat
2101,4.09,4.09,0.0,4.9597,229.0,Yes,No,Flat
2102,17.0,17.0,0.0,5.0,947.0,Yes,No,Flat
2103,2.0,2.0,0.0,4.9028,86.0,No,No,Flat
2104,10.0,10.0,0.0,5.0,1971.0,Yes,No,Flat
2105,13.5,15.0,10.0,5.0,620.0,Yes,No,Flat
